,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
0,A,134.84,41469577608,1
1,AAL,23.06,14844615458,8
2,AAP,194.37,12648977949,1
3,AAPL,134.87,2319733161643,1
4,ABBV,108.56,192434014659,1
5,ABC,119.2,24764799569,1
6,ABMD,337.0,15576472986,0
7,ABT,127.63,218088955384,1
8,ACN,296.83,195095801771,0
9,ADBE,519.91,254912440074,0
10,ADI,159.211,60638702014,1
11,ADM,60.03,33285064678,3
12,ADP,195.65,83285772961,1
13,ADSK,309.96,67381553439,0
14,AEE,86.44,21210650823,2
15,AEP,88.715,43263992783,2
16,AES,29.274,19304103932,6
17,AFL,54.7,37137592626,3
18,AIG,49.14,42226233037,4
19,AIV,6.51,928983114,30
20,AIZ,152.48,8808134925,1
21,AJG,135.64,27116957856,1
22,AKAM,104.32,17109790373,1
23,ALB,160.28,18289558203,1
24,ALGN,606.51,48853993578,0
25,ALK,73.32,8851318091,2
26,ALL,120.49,36934253650,1
27,ALLE,136.57,12348832453,1
28,ALXN,161.82,35856409308,1
29,AMAT,136.73,127825796807,1
30,AMCR,12.27,18801602304,16
31,AMD,79.63,96551789519,2
32,AME,136.08,31306400681,1
33,AMGN,254.541,151094531610,0
34,AMP,256.87,28804991649,0
35,AMT,251.3,107440486593,0
36,AMZN,3436.16,1748393134716,0
37,ANET,322.6,24778916517,0
38,ANSS,369.739,33105328963,0
39,ANTM,378.62,89911815215,0
40,AON,236.32,53895268540,0
41,AOS,69.96,10901281755,2
42,APA,18.35,6923002323,10
43,APD,290.71,63594712143,0
44,APH,69.35,42116348352,2
45,APTV,145.93,39092180745,1
46,ARE,175.65,23823600690,1
47,ATO,104.73,13361744266,1
48,ATVI,100.9,76509038573,1
49,AVB,193.18,26383863574,1
50,AVGO,488.54,196942326373,0
51,AVY,200.34,16926345679,0
52,AWK,160.5,29284286212,1
53,AXP,152.352,123967457650,1
54,AZO,1515.88,32679197568,0
55,BA,263.7,151119181747,0
56,BAC,40.1,357156894381,4
57,BAX,84.85,44826998857,2
58,BBY,121.5,30501320353,1
59,BDX,250.32,74944635201,0
60,BEN,29.985,15432002708,6
61,BF.B,72.991,34686354773,2
62,BIIB,274.423,41564121213,0
63,BIO,631.61,18820001956,0
64,BK,49.352,42711500436,4
65,BKNG,2526.4,105629160924,0
66,BKR,20.451,21210217854,9
67,BLK,814.55,124531459462,0
68,BLL,93.67,29934061256,2
69,BMY,65.623,148620275233,3
70,BR,161.66,18264849090,1
71,BRK.B,268.9,626344303047,0
72,BSX,41.08,58594038249,4
73,BWA,48.17,11470454815,4
74,BXP,108.252,17063529971,1
75,C,74.27,154897244431,2
76,CAG,38.91,18543152695,5
77,CAH,62.71,18125392901,3
78,CARR,43.91,38272514878,4
79,CAT,235.16,128683414131,0
80,CB,168.63,77398183611,1
81,CBOE,104.28,11228226164,1
82,CBRE,82.54,27344216175,2
83,CCI,182.343,79239243190,1
84,CCL,28.88,30964910697,6
85,CDNS,151.18,42378772022,1
86,CDW,186.37,25377468412,1
87,CE,156.04,17892741400,1
88,CERN,74.38,22787840219,2
89,CF,48.24,10306417638,4
90,CFG,45.51,19764044722,4
91,CHD,86.9,21728179558,2
92,CHRW,98.8,13237977422,2
93,CHTR,625.7,139231027542,0
94,CI,256.04,89862944503,0
95,CINF,107.4,17524045647,1
96,CL,80.57,69609809040,2
97,CLX,191.72,24381683373,1
98,CMA,72.08,10283986258,2
99,CMCSA,53.961,255821671916,3
100,CME,212.94,76935014254,0
101,CMG,1541.5,43217550489,0
102,CMI,264.11,38815004372,0
103,CMS,62.67,18150125717,3
104,CNC,65.8,37160267662,3
105,CNP,24.65,13582441113,8
106,COF,137.939,64808362700,1
107,COG,17.66,6775643957,11
108,COO,409.31,20912999562,0
109,COP,54.38,71362718526,3
110,COST,374.76,167789874681,0
111,COTY,8.76,6865131515,22
112,CPB,49.834,14819042442,3
113,CPRT,123.11,28772895820,1
114,CRM,233.66,217417684110,0
115,CSCO,53.211,223324616543,3
116,CSX,99.47,75962666617,1
117,CTAS,364.005,37455744905,0
118,CTL,11.0,12261357539,18
119,CTSH,80.69,42905211298,2
120,CTVA,49.41,35484772498,4
121,CTXS,142.81,17670743768,1
122,CVS,75.223,100210833775,2
123,CVX,108.7,206376274706,1
124,CXO,65.7,13359669747,3
125,D,77.88,64769865609,2
126,DAL,50.33,31512872304,3
127,DD,79.557,41878569258,2
128,DE,396.73,120095456404,0
129,DFS,102.53,32420699870,1
130,DG,216.016,52987496943,0
131,DGX,130.63,16820520973,1
132,DHI,97.63,35034080044,2
133,DHR,243.06,174594794130,0
134,DIS,193.651,355028084624,1
135,DISCA,39.153,40087436801,5
136,DISCK,34.3,40491678176,5
137,DISH,38.7,20641620520,5
138,DLR,145.36,41839056780,1
139,DLTR,116.05,26982932146,1
140,DOV,141.81,20873667126,1
141,DOW,64.92,48755693352,3
142,DPZ,393.096,15383098273,0
143,DRE,44.1,16695251710,4
144,DRI,146.81,19245942552,1
145,DTE,140.81,26942101777,1
146,DUK,102.21,78820908711,1
147,DVA,113.82,12469761169,1
148,DVN,22.55,15262093102,8
149,DXC,32.43,8164715187,6
150,DXCM,407.0,39114695989,0
151,EA,142.7,40905760745,1
152,EBAY,63.88,44598235363,3
153,ECL,218.68,64348356362,0
154,ED,79.51,27018135468,2
155,EFX,188.85,22761343908,1
156,EIX,61.3,24119106800,3
157,EL,315.83,115460101407,0
158,EMN,116.941,16357380055,1
159,EMR,95.7,56364371898,2
160,EOG,76.79,43351548417,2
161,EQIX,701.06,63719427715,0
162,EQR,73.72,27942438026,2
163,ES,89.54,31512238589,2
164,ESS,293.34,18597079792,0
165,ETFC,51.61,11078591639,3
166,ETN,141.22,57729773071,1
167,ETR,108.18,21357010943,1
168,EVRG,61.24,14482598377,3
169,EW,87.06,54167891491,2
170,EXC,45.402,45947670770,4
171,EXPD,110.971,19327967287,1
172,EXPE,178.38,24479668912,1
173,EXR,140.16,18849284100,1
174,F,12.32,50199420918,16
175,FANG,83.525,13044233292,2
176,FAST,52.17,29535615989,3
177,FB,315.8,891819988892,0
178,FBHS,103.26,14349935936,1
179,FCX,37.982,53258230367,5
180,FDX,290.297,78090044725,0
181,FE,36.34,19748063660,5
182,FFIV,219.57,12961751910,0
183,FIS,152.43,96926730374,1
184,FISV,127.3,83687490351,1
185,FITB,39.957,28559656723,4
186,FLIR,59.45,7984773492,3
187,FLS,40.26,5442590828,4
188,FLT,297.85,24048671828,0
189,FMC,114.58,14895988271,1
190,FOX,36.39,22211837599,5
191,FOXA,38.84,22477530427,5
192,FRC,179.16,31094715381,1
193,FRT,105.13,8226760910,1
194,FTI,7.74,3427590244,25
195,FTNT,209.733,33560979754,0
196,FTV,72.668,24922959102,2
197,GD,184.22,52256144541,1
198,GE,13.847,124772261325,14
199,GILD,67.176,86228222881,2
200,GIS,62.9,38051923153,3
201,GL,104.77,11869627495,1
202,GLW,45.8,35144033936,4
203,GM,59.43,87924403619,3
204,GOOG,2277.04,1534037845538,0
205,GOOGL,2345.93,1549608779087,0
206,GPC,122.97,17435753209,1
207,GPN,219.0,65199055933,0
208,GPS,33.49,12478637446,5
209,GRMN,142.86,27334744519,1
210,GS,351.07,121179686397,0
211,GWW,402.32,21385787899,0
212,HAL,21.919,19355263611,9
213,HAS,102.017,13770065776,1
214,HBAN,17.047,17205787681,11
215,HBI,20.907,7055165020,9
216,HCA,200.62,66844056701,0
217,HD,327.28,358801943360,0
218,HES,72.83,23147187902,2
219,HFC,36.57,5898071420,5
220,HIG,67.0,23693480145,2
221,HII,214.49,8547380018,0
222,HLT,131.42,35539883262,1
223,HOLX,77.85,19526386681,2
224,HON,237.07,166345292240,0
225,HPE,16.23,21479528408,12
226,HPQ,34.71,43152267061,5
227,HRB,22.4,4095963171,8
228,HRL,47.762,25324205813,4
229,HSIC,73.12,10259410453,2
230,HST,17.891,12636010603,11
231,HSY,161.04,32951416867,1
232,HUM,436.87,56822250387,0
233,HWM,32.94,14240332302,6
234,IBM,135.93,122337457328,1
235,ICE,123.32,68630721618,1
236,IDXX,523.2,44297429473,0
237,IEX,219.0,16857605725,0
238,IFF,141.68,36217145914,1
239,ILMN,418.23,59883695878,0
240,INCY,84.24,18689476453,2
241,INFO,107.67,44812697676,1
